League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Bundesliga 2,04/04/99,Greuther Furth,Uerdingen,0.0,0.0,D
Bundesliga 2,04/04/99,Hannover,Mainz,4.0,2.0,H
Bundesliga 2,04/04/99,Ulm,Gutersloh,0.0,1.0,D
Bundesliga 2,04/04/99,Wattenscheid,Dusseldorf,4.0,0.0,H
Bundesliga 2,05/04/99,Karlsruhe,F Koln,4.0,0.8,H
Bundesliga 2,09/04/99,Oberhausen,FC Koln,3.0,4.0,A
Bundesliga 2,09/04/99,Stuttgarter K,Greuther Furth,1.0,2.0,D
Bundesliga 2,09/04/99,Uerdingen,Wattenscheid,3.0,0.0,D
Bundesliga 2,11/04/99,Cottbus,Unterhaching,2.0,0.0,H
Bundesliga 2,11/04/99,F Koln,Bielefeld,2.0,1.0,D
Bundesliga 2,11/04/99,Gutersloh,TB Berlin,0.0,0.0,H
Bundesliga 2,11/04/99,Mainz,Ulm,1.0,1.0,D
Bundesliga 2,12/04/99,Dusseldorf,Karlsruhe,0.0,1.0,H
Bundesliga 2,12/04/99,St Pauli,Hannover,1.0,2.0,D
Bundesliga 2,16/04/99,Bielefeld,Dusseldorf,1.0,0.0,H
Bundesliga 2,16/04/99,Hannover,Cottbus,2.0,0.0,H
Bundesliga 2,16/04/99,Ulm,St Pauli,1.0,1.2,H
Bundesliga 2,18/04/99,Greuther Furth,TB Berlin,1.0,2.0,D
Bundesliga 2,18/04/99,Karlsruhe,Uerdingen,2.0,1.0,D
Bundesliga 2,18/04/99,Mainz,Gutersloh,1.0,0.0,H
Bundesliga 2,18/04/99,Unterhaching,Oberhausen,4.0,0.0,D
Bundesliga 2,18/04/99,Wattenscheid,Stuttgarter K,0.0,0.0,H
Bundesliga 2,19/04/99,FC Koln,F Koln,1.0,3.0,A
Bundesliga 2,23/04/99,Cottbus,Ulm,0.0,0.0,H
Bundesliga 2,23/04/99,Dusseldorf,FC Koln,2.0,1.0,H
Bundesliga 2,23/04/99,St Pauli,Mainz,2.0,1.0,H
Bundesliga 2,25/04/99,F Koln,Unterhaching,3.0,2.0,D
Bundesliga 2,25/04/99,Oberhausen,Hannover,1.0,1.0,D
Bundesliga 2,25/04/99,Stuttgarter K,Karlsruhe,1.0,2.0,D
Bundesliga 2,25/04/99,TB Berlin,Wattenscheid,3.0,0.0,H
Bundesliga 2,25/04/99,Uerdingen,Bielefeld,3.0,4.0,A
Bundesliga 2,26/04/99,Gutersloh,Greuther Furth,2.0,0.0,H
Bundesliga 2,30/04/99,FC Koln,Uerdingen,0.0,0.8,H
Bundesliga 2,30/04/99,St Pauli,Gutersloh,0.0,0.0,H
Bundesliga 2,30/04/99,Ulm,Oberhausen,1.0,0.0,H
Bundesliga 2,02/05/99,Bielefeld,Stuttgarter K,0.0,2.0,D
Bundesliga 2,02/05/99,Hannover,F Koln,1.0,3.0,D
Bundesliga 2,02/05/99,Mainz,Cottbus,0.0,0.0,D
Bundesliga 2,02/05/99,Unterhaching,Dusseldorf,0.0,0.0,H
Bundesliga 2,02/05/99,Wattenscheid,Greuther Furth,3.0,1.0,D
Bundesliga 2,03/05/99,Karlsruhe,TB Berlin,0.0,0.0,D
Bundesliga 2,07/05/99,Dusseldorf,Hannover,2.0,1.0,D
Bundesliga 2,07/05/99,F Koln,Ulm,1.0,2.0,D
Bundesliga 2,07/05/99,Stuttgarter K,FC Koln,2.0,0.0,H
Bundesliga 2,09/05/99,Cottbus,St Pauli,3.0,3.0,D
Bundesliga 2,09/05/99,Greuther Furth,Karlsruhe,2.0,2.0,A
Bundesliga 2,09/05/99,Gutersloh,Wattenscheid,3.0,1.0,H
Bundesliga 2,09/05/99,Oberhausen,Mainz,0.0,1.0,H
Bundesliga 2,09/05/99,Uerdingen,Unterhaching,4.0,0.0,H
Bundesliga 2,10/05/99,TB Berlin,Bielefeld,3.0,1.0,D
Bundesliga 2,12/05/99,Hannover,Uerdingen,1.0,1.0,H
Bundesliga 2,14/05/99,St Pauli,Oberhausen,2.0,1.0,D
Bundesliga 2,14/05/99,Ulm,Dusseldorf,0.0,2.0,H
Bundesliga 2,14/05/99,Unterhaching,Stuttgarter K,3.0,0.0,H
Bundesliga 2,16/05/99,Cottbus,Gutersloh,1.0,1.0,H
Bundesliga 2,16/05/99,FC Koln,TB Berlin,0.0,0.0,H
Bundesliga 2,16/05/99,Karlsruhe,Wattenscheid,0.0,1.0,H
Bundesliga 2,16/05/99,Mainz,F Koln,1.0,1.0,D
Bundesliga 2,17/05/99,Bielefeld,Greuther Furth,1.0,1.0,H
Bundesliga 2,21/05/99,Gutersloh,Karlsruhe,1.0,0.0,H
Bundesliga 2,21/05/99,Oberhausen,Cottbus,1.0,1.0,H
Bundesliga 2,21/05/99,Wattenscheid,Bielefeld,1.0,2.0,D
Bundesliga 2,23/05/99,Dusseldorf,Mainz,0.0,3.0,D
Bundesliga 2,23/05/99,F Koln,St Pauli,1.0,1.0,D
Bundesliga 2,23/05/99,Greuther Furth,FC Koln,1.0,1.0,A
Bundesliga 2,23/05/99,Stuttgarter K,Hannover,1.0,2.0,D
Bundesliga 2,23/05/99,Uerdingen,Ulm,2.0,1.0,H
Bundesliga 2,24/05/99,TB Berlin,Unterhaching,4.0,1.0,D
Bundesliga 2,27/05/99,Karlsruhe,Bielefeld,2.0,1.0,D
Bundesliga 2,28/05/99,FC Koln,Wattenscheid,4.0,1.0,H
Bundesliga 2,28/05/99,Mainz,Uerdingen,2.0,0.0,H
Bundesliga 2,28/05/99,St Pauli,Dusseldorf,0.0,0.8,H
Bundesliga 2,28/05/99,Ulm,Stuttgarter K,0.0,2.0,H
Bundesliga 2,30/05/99,Cottbus,F Koln,0.0,0.0,H
Bundesliga 2,30/05/99,Gutersloh,Oberhausen,0.0,3.0,D
Bundesliga 2,30/05/99,Hannover,TB Berlin,1.0,0.0,D
Bundesliga 2,31/05/99,Unterhaching,Greuther Furth,1.0,1.2,H
Bundesliga 2,13/06/99,Bielefeld,Gutersloh,1.0,0.0,H
